行标签	计数项:address	平均值项:longtitude	平均值项:latitude
安徽	6	117.216005	31.859252
福建	2	117.984943	26.050118
甘肃	1	102.457625	38.103267
广东	11	113.394818	23.408004
广西	1	108.924274	23.552255
贵州	1	106.734996	26.902826
河北	14	115.661434	38.61384
黑龙江	3	128.047414	47.356592
湖北	7	112.410562	31.209316
湖南	9	111.720664	27.695864
吉林	3	126.564544	43.871988
江苏	9	119.368489	33.013797
江西	2	115.676082	27.757258
辽宁	7	122.753592	41.6216
内蒙古	1	114.415868	43.468238
山东	7	118.527663	36.09929
山西	8	112.515496	37.866566
陕西	4	109.503789	35.860026
四川	7	102.89916	30.367481
新疆	12	85.614899	42.127001
云南	1	101.592952	24.864213
浙江	4	119.957202	29.159494
